title,genre,description
Inception,Sci-Fi Thriller,A skilled thief enters dreams to extract secrets from subconscious minds
Interstellar,Sci-Fi Drama,A team travels through a wormhole to save humanity from extinction
The Matrix,Sci-Fi Action,A hacker discovers reality is a simulated world controlled by machines
Avatar,Sci-Fi Adventure,A marine explores an alien planet and joins native inhabitants
Doctor Strange,Fantasy Action,A surgeon learns mystic arts to protect the world
The Dark Knight,Action Crime,Batman faces the Joker in a battle for Gotham city
Joker,Drama Thriller,A struggling comedian descends into psychological chaos
Avengers: Endgame,Action Superhero,Heroes unite to reverse the damage caused by a powerful villain
Iron Man,Action Superhero,A billionaire builds advanced armor to fight evil
Thor,Fantasy Action,A powerful god defends Earth from cosmic threats
Gladiator,Historical Action,A Roman general seeks revenge in the arena
Braveheart,Historical Drama,A warrior leads rebellion against oppression
Titanic,Romance Drama,A love story unfolds aboard a doomed ship
The Notebook,Romance Drama,A lifelong love story told through memories
La La Land,Romance Musical,A jazz musician and actress chase dreams in Los Angeles
The Lion King,Animation Adventure,A lion cub reclaims his throne
Frozen,Animation Fantasy,A princess with magical ice powers saves her kingdom
Toy Story,Animation Comedy,Toys come alive when humans are not around
Finding Nemo,Animation Adventure,A father searches across the ocean for his son
Up,Animation Adventure,An old man flies his house using balloons
Parasite,Thriller Drama,A poor family infiltrates a wealthy household
Shutter Island,Psychological Thriller,A detective investigates a mysterious disappearance
Fight Club,Drama Thriller,An underground fight club challenges consumer culture
The Shawshank Redemption,Drama Crime,A prisoner maintains hope inside a brutal prison
Forrest Gump,Drama Romance,A man witnesses historical events with innocence
The Godfather,Crime Drama,A mafia family struggles with power and loyalty
John Wick,Action Thriller,A retired assassin returns for vengeance
Mission Impossible,Action Spy,A secret agent completes dangerous missions
The Conjuring,Horror Thriller,Investigators confront paranormal forces
It,Horror Thriller,A shapeshifting entity terrorizes children
The Exorcist,Horror Supernatural,A priest attempts to save a possessed girl
A Quiet Place,Horror Sci-Fi,A family survives in silence from alien creatures
Black Panther,Action Superhero,A king defends his technologically advanced nation
Captain America,Action Superhero,A soldier becomes a patriotic hero
Spider-Man: No Way Home,Action Superhero,Multiple universes collide in a superhero crisis
Harry Potter,Fantasy Adventure,A young wizard battles dark forces
The Lord of the Rings,Fantasy Adventure,A group journeys to destroy a powerful ring
Star Wars,Sci-Fi Adventure,Rebels fight against a galactic empire
Dune,Sci-Fi Adventure,A noble family fights for control of a desert planet
The Social Network,Biography Drama,The story of the rise of a tech empire
Whiplash,Drama Music,A drummer pushes limits under harsh mentorship
The Pursuit of Happyness,Biography Drama,A father struggles for a better life
The Wolf of Wall Street,Biography Crime,A stockbroker rises through corruption
The Silence of the Lambs,Crime Thriller,An agent seeks help from a serial killer
Se7en,Crime Thriller,Detectives track a serial killer based on deadly sins
The Prestige,Drama Mystery,Two magicians compete through deception
Inglourious Basterds,War Drama,A plan to assassinate Nazi leaders unfolds
1917,War Drama,Two soldiers deliver a crucial message during war
Mad Max: Fury Road,Action Adventure,A high speed chase across a desert wasteland
The Grand Budapest Hotel,Comedy Drama,A hotel concierge is framed for murder
Coco,Animation Fantasy,A boy explores the land of the dead
Inside Out,Animation Drama,Emotions guide a young girl through life changes
The Imitation Game,Biography Drama,A mathematician breaks wartime codes
The Martian,Sci-Fi Adventure,An astronaut survives alone on Mars
Gravity,Sci-Fi Thriller,A stranded astronaut fights to return home
Her,Romance Sci-Fi,A man falls in love with an AI assistant
Ex Machina,Sci-Fi Thriller,A programmer tests artificial intelligence
The Hunger Games,Sci-Fi Action,A girl competes in a deadly survival game